GO_terms	freq
GO:0031224	1
GO:0031230	3
GO:0031402	1
GO:0031460	1
GO:0031522	2
GO:0031554	1
GO:0031564	1
GO:0031669	1
GO:0031992	1
GO:0032049	1
GO:0032153	4
GO:0032259	1
GO:0032299	1
GO:0032357	1
GO:0032508	1
GO:0032543	1
GO:0032549	1
GO:0032559	1
GO:0032784	1
GO:0032790	2
GO:0032955	1
GO:0032977	1
GO:0032993	3
GO:0033014	5
GO:0033177	1
GO:0033202	1
GO:0033214	1
GO:0033281	1
GO:0033388	3
GO:0033396	1
GO:0033499	1
GO:0033554	1
GO:0033739	1
GO:0033743	1
GO:0033785	1
GO:0033786	1
GO:0033856	1
GO:0033862	1
GO:0034039	1
GO:0034040	2
GO:0034213	1
GO:0034257	1
GO:0034258	1
GO:0034353	1
GO:0034414	1
GO:0034599	1
GO:0034605	2
GO:0034628	1
GO:0035243	1
GO:0035435	1
GO:0035444	1
GO:0035485	1
GO:0035550	1
GO:0035596	3
GO:0035598	1
GO:0035599	1
GO:0035600	2
GO:0035999	2
GO:0036009	1
GO:0036054	1
GO:0036055	1
GO:0036211	2
GO:0036265	1
GO:0036361	1
GO:0036374	1
GO:0036424	1
GO:0036503	1
GO:0042026	3
GO:0042132	1
GO:0042158	2
GO:0042274	2
GO:0042286	1
GO:0042542	2
GO:0042558	1
GO:0042586	1
GO:0042597	2
GO:0042626	1
GO:0042744	3
GO:0042773	4
GO:0042777	1
GO:0042781	1
GO:0042802	1
GO:0042803	1
GO:0042834	2
GO:0042853	1
GO:0042884	3
GO:0042910	5
GO:0043022	6
GO:0043023	2
GO:0043024	1
GO:0043039	6
GO:0043043	1
GO:0043094	1
GO:0043137	2
GO:0043138	4
GO:0043165	1
GO:0043190	11
GO:0043335	1
GO:0043419	1
GO:0043527	1
GO:0043530	1
GO:0043531	2
GO:0043565	3
GO:0043590	1
GO:0043682	2
GO:0043684	1
GO:0043768	1
GO:0043772	1
GO:0043952	1
GO:0043953	3
GO:0044038	2
GO:0044097	1
GO:0044183	2
GO:0044205	1
GO:0044208	2
GO:0044209	1
GO:0044237	2
GO:0044262	2
GO:0044569	1
GO:0044689	2
GO:0044718	3
GO:0044780	9
GO:0044781	1
GO:0044874	2
GO:0045004	1
GO:0045261	5
GO:0045263	4
GO:0045271	1
GO:0045272	3
GO:0045278	1
GO:0045312	1
GO:0045454	6
GO:0045727	1
GO:0045881	1
GO:0045892	3
GO:0045910	1
GO:0045947	1
GO:0046034	2
GO:0046040	1
GO:0046081	1
GO:0046168	1
GO:0046256	1
GO:0046364	1
GO:0046417	1
GO:0046429	1
GO:0046474	1
GO:0046537	1
GO:0046653	1
GO:0046654	2
GO:0046655	1
GO:0046677	1
GO:0046820	1
GO:0046857	1
GO:0046872	23
GO:0046873	1
GO:0046892	1
GO:0046912	1
GO:0046914	3
GO:0046933	7
GO:0046944	1
GO:0046961	1
GO:0046983	3
GO:0047429	1
GO:0047444	1
GO:0047456	1
GO:0047545	1
GO:0047632	1
GO:0047661	1
GO:0047952	1
GO:0048027	1
GO:0048029	1
GO:0048038	2
GO:0048039	1
GO:0048473	1
GO:0048500	1
GO:0050126	2
GO:0050334	1
GO:0050511	1
GO:0050515	1
GO:0050518	1
GO:0050567	2
GO:0050660	6
GO:0050661	9
GO:0050797	1
GO:0050897	1
GO:0050918	1
GO:0050992	1
GO:0051075	1
GO:0051082	8
GO:0051083	1
GO:0051085	4
GO:0051087	2
GO:0051096	1
GO:0051117	1
GO:0051156	2
GO:0051205	1
GO:0051287	9
GO:0051301	8
GO:0051484	1
GO:0051536	20
GO:0051537	3
GO:0051539	13
GO:0051603	3
GO:0051604	6
GO:0051745	1
GO:0051782	2
GO:0051920	1
GO:0051989	1
GO:0052381	1
GO:0052855	1
GO:0052856	1
GO:0052857	1
GO:0052906	1
GO:0055070	2
GO:0055085	48
GO:0055129	1
GO:0055130	1
GO:0061024	1
GO:0061077	1
GO:0061503	1
GO:0061504	1
GO:0065002	1
GO:0065003	1
GO:0070006	2
GO:0070025	1
GO:0070042	1
GO:0070043	1
GO:0070063	1
GO:0070084	1
GO:0070085	1
GO:0070180	2
GO:0070181	3
GO:0070402	2
GO:0070403	2
GO:0070475	3
GO:0070497	1
GO:0070567	1
GO:0070626	1
GO:0070681	1
GO:0070905	1
GO:0070930	1
GO:0070967	1
GO:0071424	1
GO:0071513	1
GO:0071555	5
GO:0071586	1
GO:0071704	2
GO:0071705	3
GO:0071709	1
GO:0071916	1
GO:0071951	1
GO:0071972	1
GO:0071973	15
GO:0071978	10
GO:0090071	1
GO:0090502	1
GO:0097056	1
GO:0097367	4
GO:0097510	1
GO:0098797	2
GO:0101030	1
GO:0110051	1
GO:0140359	3
GO:0140662	4
GO:0140663	1
GO:0140664	1
GO:1900376	1
GO:1900705	1
GO:1901135	4
GO:1901137	1
GO:1901530	1
GO:1901565	1
GO:1901642	1
GO:1902560	1
GO:1902600	5
GO:1902670	1
GO:1902758	1
GO:1903424	1
GO:1903425	1
GO:1903785	1
GO:1904047	2
GO:1904659	1
GO:1904680	2
GO:1990220	1
GO:1990281	1
GO:1990904	1
