GO_terms	freq	namespace
GO:0016787	2	molecular_function
GO:0016788	1	molecular_function
GO:0016788	1	molecular_function
GO:0016791	1	molecular_function
GO:0016791	1	molecular_function
GO:0016798	1	molecular_function
GO:0016799	1	molecular_function
GO:0016810	4	molecular_function
GO:0016811	2	molecular_function
GO:0016811	1	molecular_function
GO:0016818	1	molecular_function
GO:0016829	2	molecular_function
GO:0016829	1	molecular_function
GO:0016831	3	molecular_function
GO:0016832	1	molecular_function
GO:0016836	2	molecular_function
GO:0016846	1	molecular_function
GO:0016853	4	molecular_function
GO:0016855	1	molecular_function
GO:0016857	1	molecular_function
GO:0016866	1	molecular_function
GO:0016868	2	molecular_function
GO:0016874	1	molecular_function
GO:0016879	1	molecular_function
GO:0016881	4	molecular_function
GO:0016884	1	molecular_function
GO:0016887	25	molecular_function
GO:0016891	1	molecular_function
GO:0016987	2	molecular_function
GO:0017038	3	biological_process
GO:0017057	1	molecular_function
GO:0017089	1	molecular_function
GO:0017136	1	molecular_function
GO:0017148	2	biological_process
GO:0017150	1	molecular_function
GO:0017168	2	molecular_function
GO:0018160	1	biological_process
GO:0018206	1	biological_process
GO:0018339	1	biological_process
GO:0018364	1	biological_process
GO:0019104	2	molecular_function
GO:0019134	1	molecular_function
GO:0019205	1	molecular_function
GO:0019239	1	molecular_function
GO:0019264	1	biological_process
GO:0019284	1	biological_process
GO:0019288	1	biological_process
GO:0019294	1	biological_process
GO:0019316	1	biological_process
GO:0019346	1	biological_process
GO:0019427	1	biological_process
GO:0019430	1	biological_process
GO:0019509	1	biological_process
GO:0019538	1	biological_process
GO:0019547	1	biological_process
GO:0019627	1	biological_process
GO:0019629	1	biological_process
GO:0019632	1	biological_process
GO:0019693	1	biological_process
GO:0019740	1	biological_process
GO:0019829	3	molecular_function
GO:0019843	6	molecular_function
GO:0019843	1	molecular_function
GO:0019856	2	biological_process
GO:0019867	4	cellular_component
GO:0020037	11	molecular_function
GO:0022625	3	cellular_component
GO:0022627	4	cellular_component
GO:0022857	13	molecular_function
GO:0022857	12	molecular_function
GO:0022904	4	biological_process
GO:0030001	2	biological_process
GO:0030145	4	molecular_function
GO:0030163	1	biological_process
GO:0030163	1	biological_process
GO:0030170	5	molecular_function
GO:0030170	1	molecular_function
GO:0030254	1	biological_process
GO:0030257	1	cellular_component
GO:0030259	1	biological_process
GO:0030272	1	molecular_function
GO:0030288	5	cellular_component
GO:0030288	1	cellular_component
GO:0030313	2	cellular_component
GO:0030388	2	biological_process
GO:0030488	4	biological_process
GO:0030604	1	molecular_function
GO:0030632	1	biological_process
GO:0030677	1	cellular_component
GO:0030694	2	cellular_component
GO:0030983	1	molecular_function
GO:0031072	1	molecular_function
GO:0031119	1	biological_process
GO:0031167	1	biological_process
GO:0031177	1	molecular_function
GO:0031230	3	cellular_component
GO:0031522	2	cellular_component
GO:0031554	1	biological_process
GO:0031564	1	biological_process
GO:0031992	1	molecular_function
GO:0032153	1	cellular_component
GO:0032259	17	biological_process
GO:0032259	1	biological_process
GO:0032299	1	cellular_component
GO:0032357	1	molecular_function
GO:0032508	1	biological_process
GO:0032543	1	biological_process
GO:0032559	1	molecular_function
GO:0032790	1	biological_process
GO:0032790	1	biological_process
GO:0032955	1	biological_process
GO:0032977	1	molecular_function
GO:0032993	3	cellular_component
GO:0033014	3	biological_process
GO:0033014	2	biological_process
GO:0033177	1	cellular_component
GO:0033202	1	cellular_component
GO:0033281	1	cellular_component
GO:0033388	1	biological_process
GO:0033396	1	biological_process
GO:0033743	1	molecular_function
GO:0033785	1	molecular_function
GO:0033786	1	molecular_function
GO:0033856	1	molecular_function
GO:0033862	1	molecular_function
GO:0034040	1	molecular_function
GO:0034213	1	biological_process
GO:0034257	1	molecular_function
GO:0034353	1	molecular_function
GO:0034414	1	biological_process
GO:0034599	1	biological_process
GO:0034605	2	biological_process
GO:0035435	1	biological_process
GO:0035485	1	molecular_function
GO:0035550	1	cellular_component
GO:0035596	3	molecular_function
GO:0035598	1	molecular_function
GO:0035599	1	molecular_function
GO:0035999	3	biological_process
GO:0036009	1	molecular_function
GO:0036055	1	molecular_function
GO:0036211	2	biological_process
GO:0036265	1	biological_process
GO:0036424	1	molecular_function
GO:0042026	2	biological_process
GO:0042132	1	molecular_function
GO:0042158	1	biological_process
GO:0042274	2	biological_process
GO:0042286	1	molecular_function
GO:0042542	2	biological_process
GO:0042558	1	biological_process
GO:0042586	1	molecular_function
GO:0042597	1	cellular_component
GO:0042597	1	cellular_component
GO:0042626	1	molecular_function
GO:0042744	2	biological_process
GO:0042744	1	biological_process
GO:0042773	2	biological_process
GO:0042777	1	biological_process
GO:0042781	1	molecular_function
GO:0042802	1	molecular_function
GO:0042803	1	molecular_function
GO:0042834	1	molecular_function
GO:0042853	1	biological_process
GO:0042884	2	biological_process
GO:0042884	1	biological_process
GO:0042910	4	molecular_function
GO:0042910	1	molecular_function
GO:0042953	1	biological_process
GO:0043022	4	molecular_function
GO:0043022	1	molecular_function
GO:0043023	1	molecular_function
GO:0043023	1	molecular_function
GO:0043024	1	molecular_function
GO:0043039	5	biological_process
GO:0043043	1	biological_process
GO:0043094	1	biological_process
GO:0043137	2	biological_process
GO:0043138	2	molecular_function
GO:0043165	1	biological_process
GO:0043190	7	cellular_component
GO:0043190	4	cellular_component
GO:0043335	1	biological_process
GO:0043527	1	cellular_component
GO:0043530	1	molecular_function
GO:0043531	2	molecular_function
GO:0043565	1	molecular_function
GO:0043565	3	molecular_function
GO:0043590	1	cellular_component
GO:0043682	2	molecular_function
GO:0043952	1	biological_process
GO:0043953	1	biological_process
GO:0043953	2	biological_process
GO:0044038	2	biological_process
GO:0044097	1	biological_process
GO:0044183	2	molecular_function
GO:0044205	1	biological_process
GO:0044208	1	biological_process
GO:0044208	1	biological_process
GO:0044209	1	biological_process
GO:0044237	2	biological_process
GO:0044249	1	biological_process
GO:0044262	2	biological_process
GO:0044571	1	biological_process
GO:0044689	2	molecular_function
GO:0044718	3	biological_process
GO:0044780	1	biological_process
GO:0044781	1	biological_process
GO:0044874	1	biological_process
GO:0044874	1	biological_process
GO:0045004	1	biological_process
GO:0045261	4	cellular_component
GO:0045263	4	cellular_component
GO:0045271	1	cellular_component
GO:0045272	3	cellular_component
GO:0045278	1	cellular_component
GO:0045312	1	biological_process
GO:0045454	4	biological_process
GO:0045892	3	biological_process
GO:0045910	1	biological_process
GO:0045947	1	biological_process
GO:0046034	1	biological_process
GO:0046034	1	biological_process
GO:0046040	1	biological_process
GO:0046168	1	biological_process
GO:0046256	1	biological_process
GO:0046364	1	biological_process
GO:0046429	1	molecular_function
GO:0046474	1	biological_process
GO:0046537	1	molecular_function
GO:0046654	2	biological_process
