tmp_code	GO_terms
tmp_000351	['GO:0005829', 'GO:0002161', 'GO:0006418', 'GO:0005524', 'GO:0006433', 'GO:0004827', 'GO:0005737', 'GO:0000166', 'GO:0004812']
tmp_000352	['GO:0008883', 'GO:0050661', 'GO:0033014']
tmp_000353	['GO:0004659', 'GO:0008299']
tmp_000356	['GO:0016722', 'GO:0008199']
tmp_000357	['GO:0016772', 'GO:0007165', 'GO:0000155', 'GO:0016310']
tmp_000359	['GO:0030288', 'GO:0071973', 'GO:0009428', 'GO:0005198']
tmp_000360	['GO:0003676', 'GO:0005829', 'GO:0005524', 'GO:0003724', 'GO:0000027']
tmp_000361	['GO:0016020']
tmp_000363	['GO:0000166', 'GO:0016887', 'GO:0015833', 'GO:0005524']
tmp_000364	['GO:0055085', 'GO:0042884', 'GO:0016020']
tmp_000368	['GO:0005525', 'GO:0006164', 'GO:0004019', 'GO:0005737', 'GO:0046040', 'GO:0000166', 'GO:0044208']
tmp_000369	['GO:0071973', 'GO:0009288']
tmp_000371	['GO:0016020', 'GO:0005515', 'GO:0006508', 'GO:0004222']
tmp_000372	['GO:0003676', 'GO:0009318', 'GO:0008855', 'GO:0006308']
tmp_000373	['GO:0003676', 'GO:0008170', 'GO:0003677', 'GO:0005737', 'GO:0032259', 'GO:0008168']
tmp_000376	['GO:0008170', 'GO:0009307', 'GO:0003677', 'GO:0005737', 'GO:0009007', 'GO:0008168', 'GO:0015667']
tmp_000377	['GO:0016887', 'GO:0005737', 'GO:0034605', 'GO:0005524']
tmp_000378	['GO:0017004', 'GO:0016020']
tmp_000379	['GO:0016787', 'GO:0004038', 'GO:0005737', 'GO:0006145', 'GO:0016810']
tmp_000380	['GO:0016787', 'GO:0016810']
tmp_000382	['GO:0035600', 'GO:0051536', 'GO:0016740', 'GO:0006400', 'GO:0051539', 'GO:0035596', 'GO:0003824']
tmp_000388	['GO:0005515']
tmp_000391	['GO:0016462']
tmp_000392	['GO:0008713', 'GO:0005829', 'GO:0009244', 'GO:0016757', 'GO:0008920']
tmp_000393	['GO:0016740', 'GO:0016020']
tmp_000394	['GO:0002099', 'GO:0005829', 'GO:0016763', 'GO:0101030', 'GO:0008616', 'GO:0006400', 'GO:0008479', 'GO:0005737']
tmp_000395	['GO:0006813', 'GO:0008324']
tmp_000396	['GO:0016838', 'GO:0009073', 'GO:0005737', 'GO:0003856']
tmp_000397	['GO:0055085', 'GO:0016020']
tmp_000398	['GO:0035600', 'GO:0051536', 'GO:0016740', 'GO:0006400', 'GO:0051539', 'GO:0035596', 'GO:0003824', 'GO:0035598']
tmp_000399	['GO:0016887', 'GO:0030163', 'GO:0005886', 'GO:0005524', 'GO:0004176', 'GO:0006508', 'GO:0004222']
tmp_000404	['GO:0003824', 'GO:0008836', 'GO:0009089']
tmp_000405	['GO:0046417', 'GO:0009697', 'GO:0004106']
tmp_000407	['GO:0046820', 'GO:0003824', 'GO:0009058']
tmp_000408	['GO:0004040', 'GO:0006807', 'GO:0003837', 'GO:0033396', 'GO:0016811']
tmp_000409	['GO:0009288', 'GO:0005198']
tmp_000410	['GO:0003723', 'GO:0005840', 'GO:0006412', 'GO:0003735']
tmp_000411	['GO:0022625', 'GO:0005840', 'GO:0006412', 'GO:0003735']
tmp_000412	['GO:1904680', 'GO:0015833', 'GO:0030288', 'GO:0043190', 'GO:0055085']
tmp_000413	['GO:0055085', 'GO:0071916', 'GO:0016020']
tmp_000414	['GO:0055085', 'GO:0016020']
tmp_000415	['GO:0000166', 'GO:0016887', 'GO:0015833', 'GO:0005524']
tmp_000416	['GO:0000166', 'GO:0016887', 'GO:0015833', 'GO:0005524']
tmp_000417	['GO:0000287', 'GO:0005525', 'GO:0003924']
tmp_000418	['GO:0042597', 'GO:0016829']
tmp_000420	['GO:0008483', 'GO:0033014', 'GO:0042286', 'GO:0030170']
tmp_000423	['GO:0006807']
tmp_000424	['GO:0005975', 'GO:0016810']
tmp_000426	['GO:0008170', 'GO:0009307', 'GO:0003677', 'GO:0005737', 'GO:0008168', 'GO:0015667']
tmp_000428	['GO:0005737']
tmp_000429	['GO:0022857', 'GO:0005886']
tmp_000430	['GO:0005829', 'GO:0070967', 'GO:0016627']
tmp_000431	['GO:0006420', 'GO:0006418', 'GO:0005524', 'GO:0004814', 'GO:0005737', 'GO:0000166', 'GO:0004812']
tmp_000432	['GO:0015031', 'GO:0016020', 'GO:0043953']
